data_pt,px,py,dataset,num_points,q_min,q_max,filename
1,-31.5,9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0001_bkgdSub_1D.csv
2,-31.5,4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0002_bkgdSub_1D.csv
3,-31.5,0.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0003_bkgdSub_1D.csv
4,-31.5,-4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0004_bkgdSub_1D.csv
5,-31.5,-9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0005_bkgdSub_1D.csv
6,-27.0,18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0006_bkgdSub_1D.csv
7,-27.0,13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0007_bkgdSub_1D.csv
8,-27.0,9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0008_bkgdSub_1D.csv
9,-27.0,4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0009_bkgdSub_1D.csv
10,-27.0,0.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0010_bkgdSub_1D.csv
11,-27.0,-4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0011_bkgdSub_1D.csv
12,-27.0,-9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0012_bkgdSub_1D.csv
13,-27.0,-13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0013_bkgdSub_1D.csv
14,-27.0,-18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0014_bkgdSub_1D.csv
15,-22.5,22.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0015_bkgdSub_1D.csv
16,-22.5,18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0016_bkgdSub_1D.csv
17,-22.5,13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0017_bkgdSub_1D.csv
18,-22.5,9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0018_bkgdSub_1D.csv
19,-22.5,4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0019_bkgdSub_1D.csv
20,-22.5,0.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0020_bkgdSub_1D.csv
21,-22.5,-4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0021_bkgdSub_1D.csv
22,-22.5,-9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0022_bkgdSub_1D.csv
23,-22.5,-13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0023_bkgdSub_1D.csv
24,-22.5,-18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0024_bkgdSub_1D.csv
25,-22.5,-22.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0025_bkgdSub_1D.csv
26,-18.0,27.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0026_bkgdSub_1D.csv
27,-18.0,22.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0027_bkgdSub_1D.csv
28,-18.0,18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0028_bkgdSub_1D.csv
29,-18.0,13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0029_bkgdSub_1D.csv
30,-18.0,9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0030_bkgdSub_1D.csv
31,-18.0,4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0031_bkgdSub_1D.csv
32,-18.0,0.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0032_bkgdSub_1D.csv
33,-18.0,-4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0033_bkgdSub_1D.csv
34,-18.0,-9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0034_bkgdSub_1D.csv
35,-18.0,-13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0035_bkgdSub_1D.csv
36,-18.0,-18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0036_bkgdSub_1D.csv
37,-18.0,-22.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0037_bkgdSub_1D.csv
38,-18.0,-27.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0038_bkgdSub_1D.csv
39,-13.5,27.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0039_bkgdSub_1D.csv
40,-13.5,22.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0040_bkgdSub_1D.csv
41,-13.5,18.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0041_bkgdSub_1D.csv
42,-13.5,13.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0042_bkgdSub_1D.csv
43,-13.5,9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0043_bkgdSub_1D.csv
44,-13.5,4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0044_bkgdSub_1D.csv
45,-13.5,0.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0045_bkgdSub_1D.csv
46,-13.5,-4.5,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0046_bkgdSub_1D.csv
47,-13.5,-9.0,TiNiSn_600C,1000,1,8,TiNiSn_600C_Y20190219_14x14_t65_0047_bkgdSub_1D.csv
